677113,NP16 5EZ,51.644985,-2.672135
91122,WA16 7EU,53.313830,-2.330154
506952,PR6 7UB,53.702309,-2.644137
1595884,BH6 3DS,50.722686,-1.802425
1440116,CM0 8DN,51.634128,0.808898
1362845,CW3 0FA,52.984379,-2.517726
1667307,B69 2DR,52.503573,-2.032455
1398979,CT12 4BD,51.340283,1.317445
301134,SP1 3FE,51.086823,-1.776950
1414320,CO4 5TE,51.969944,0.939778
1547315,BN25 1AH,50.770289,0.106969
1782699,IG10 9FN,51.646481,0.086868
1034580,HX3 0UU,53.700059,-1.867506
1654391,B97 5DN,52.288903,-1.949420
267323,ST2 8LR,53.030103,-2.138048
831982,M28 3LH,53.525510,-2.395258
458075,RM18 8LT,51.466602,0.368684
2723552,WV1 1AF,52.585691,-2.128491
1117072,GL55 6LH,52.065491,-1.743391
925738,LD4 4DB,52.121450,-3.588720
2622518,B29 6FX,52.446658,-1.931432
2696310,E10 9GZ,51.570986,-0.008617
350598,SK8 7NF,53.356323,-2.187690
1544049,BN3 3RG,50.832844,-0.175623
1372029,CV4 9RP,52.399062,-1.587876
1003243,IV15 9SD,57.595202,-4.436338
1759636,TA20 1FF,50.884064,-2.956894
203966,TF11 9DU,52.602166,-2.423552
572839,PE28 5QU,52.405568,-0.331583
620990,OL4 2NF,53.563822,-2.071465
982139,KT13 9BT,51.368318,-0.449804
1023298,IP11 7QN,51.966143,1.346638
1080055,HD1 3HU,53.642292,-1.791680
617518,OL9 6BE,53.543104,-2.126042
978506,KT2 5HT,51.418401,-0.296555
773064,N1 8HF,51.533486,-0.098754
1679767,B35 6DN,52.519611,-1.796124
537702,PO11 9QX,50.781235,-0.951199
862942,LS23 6LB,53.895391,-1.350252
1246097,E17 8QY,51.576435,-0.019981
1501703,CA13 9RA,54.662242,-3.362458
1010863,IP3 8SY,52.038263,1.201050
1637767,BB10 2BW,53.813808,-2.224556
78334,WC1X 0AP,51.524565,-0.112042
855296,LS7 4LY,53.827549,-1.536045
64602,WF14 8NA,53.669061,-1.688566
707364,NG3 4LD,52.968364,-1.144414
281890,SS17 0LQ,51.512504,0.420631
1452398,CH44 2DF,53.420194,-3.065087
1602492,BH20 7NL,50.741381,-2.207485
1433258,CM2 0RT,51.730091,0.463523
438131,S5 7HQ,53.413403,-1.469024
1357997,DA1 1YF,51.443245,0.232294
546647,PL27 6UN,50.518024,-4.827302
1800225,OL8 1QF,53.528945,-2.114430
240189,SW5 9FY,51.484751,-0.183628
298830,SP2 0AT,51.087185,-1.860158
2690205,BT39 0FU,54.745488,-6.021297
1663425,B74 3NX,52.582409,-1.895969
943967,L39 2XJ,53.568619,-2.874384
779307,ML4 1LT,55.826954,-4.018068
130157,TW20 0LF,51.436232,-0.564503
1362292,CW5 5DP,53.067415,-2.519244
1445113,CH63 8PE,53.360787,-3.012349
759822,N7 6ET,51.555663,-0.112774
554107,PL14 3EG,50.456000,-4.461090
42760,WR4 0RD,52.207421,-2.167820
851838,LU2 8EZ,51.908580,-0.383937
1501162,CA14 1RZ,54.663846,-3.527837
785722,MK7 7HW,52.014571,-0.702234
1193181,EX2 8JN,50.711763,-3.534368
870287,LS13 4PA,53.803380,-1.643980
167274,TQ9 5HS,50.432396,-3.688259
981219,KT15 3SH,51.347892,-0.513977
61219,WF3 1DG,53.716928,-1.581266
551473,PL18 9QX,50.497228,-4.209426
621124,OL4 2XA,53.565109,-2.069474
1539099,BN9 0BD,50.793126,0.054003
2688653,BL2 5BF,53.584834,-2.389375
387559,SE1P 5FE,51.492761,-0.080152
1056855,HP5 2EW,51.720288,-0.618501
1014926,IP22 4AU,52.373442,1.107269
539691,PL9 9AH,50.361533,-4.089620
1629900,BB5 6SN,53.753697,-2.357710
357776,SK2 5QG,53.400004,-2.129273
494489,RG21 7UE,51.267243,-1.093607
772290,N10 3JN,51.582375,-0.149774
188674,TN23 9TD,51.146270,0.878244
862208,LS25 4DX,53.788405,-1.327164
2102849,HP22 5YQ,51.807811,-0.771427
776879,ML6 8LL,55.837147,-3.940919
599818,OX5 1DG,51.809011,-1.281470
2653638,IP24 2FZ,52.426400,0.769351
709397,NG24 1EG,53.075879,-0.809053
1371489,CV5 7AS,52.409660,-1.572430
1753468,BD7 2AN,53.791013,-1.788381
478920,RH1 5SR,51.214319,-0.162017
1111741,GU10 3BS,51.172996,-0.771958
969311,KY1 3BZ,56.124675,-3.138760
1368671,CV7 9DE,52.471142,-1.481947
513044,PR2 3DR,53.776380,-2.713965
